N_kN,My_kNm,Mz_kNm,neutral_axis_depth_mm,neutral_axis_angle_deg,max_concrete_strain,max_steel_strain
-589.3717122291104,0.0,1.8041988930349573,-426.713432634821,0.0,0.02112547276992591,0.02
-589.3717122291104,0.1715936714921929,1.6326047286148853,-468.97978239652616,6.0,0.021125472462433816,0.02
-589.3717122291104,0.3162691358740032,1.487929299331542,-506.1076633687427,12.0,0.021125472484328497,0.02
-589.3717122291104,0.44245687097418307,1.3617422277073339,-537.690182511558,18.0,0.021125472898209777,0.02
-589.3717122291104,0.5558163401015215,1.2483839394048677,-563.381325957908,24.0,0.02112547363481716,0.02
-589.3717122291104,0.6603836773426421,1.1438180816466212,-582.8997181783664,30.0,0.02112547455772966,0.02
-589.3717122291104,0.7592226803547815,1.0449803708519825,-596.0318024302038,36.0,0.021125475363824597,0.02
-589.3717122291104,0.854824737126287,0.949379051038038,-602.6339467123879,42.0,0.02112547582354424,0.02
-589.3717122291104,0.949379051038038,0.854824737126287,-602.6339467123879,48.0,0.02112547582354424,0.02
-589.3717122291104,1.0449803708519825,0.759222680354774,-596.0318024302014,54.0,0.0211254753638246,0.02
-589.3717122291104,1.1438180816466286,0.6603836773426496,-582.8997181783647,60.0,0.02112547455772966,0.02
-589.3717122291104,1.2483839394048526,0.5558163401015215,-563.3813259579142,66.0,0.021125473634817156,0.02
-589.3717122291104,1.3617422276992464,0.4424568709715567,-537.6901825173162,72.0,0.021125472898203095,0.02
-589.3717122291104,1.4879292993315496,0.3162691358740069,-506.10766336873763,78.0,0.021125472484328504,0.02
-589.3717122291104,1.6326047283672542,0.1715936714661643,-468.97978252489577,84.0,0.021125472462263106,0.02
-589.3717122291104,1.8041988930349573,-3.725290298461914e-15,-426.713432634821,90.0,0.02112547276992591,0.02
-589.3717122291104,1.6326047283672616,-0.17159367146616056,-468.9797825248945,96.0,0.021125472462263106,0.02
-589.3717122291104,1.4879292995883635,-0.31626913592859357,-506.10766321109725,102.0,0.021125472484522758,0.02
-589.3717122291104,1.3617422277073263,-0.44245687097418307,-537.6901825115638,108.0,0.02112547289820977,0.02
-589.3717122291104,1.2483839394048677,-0.5558163401015251,-563.3813259579048,114.0,0.021125473634817163,0.02
-589.3717122291104,1.143818081646625,-0.6603836773426384,-582.8997181783706,120.0,0.021125474557729656,0.02
-589.3717122291104,1.0449803708519825,-0.7592226803547777,-596.0318024302019,126.0,0.021125475363824597,0.02
-589.3717122291104,0.9493790510380231,-0.854824737126287,-602.6339467123976,132.0,0.021125475823544237,0.02
-589.3717122291104,0.854824737126287,-0.9493790510380231,-602.6339467124005,138.0,0.021125475823544234,0.02
-589.3717122291104,0.759222680354774,-1.0449803708519787,-596.0318024302115,144.0,0.02112547536382459,0.02
-589.3717122291104,0.6603836773426421,-1.1438180816466286,-582.8997181783706,150.0,0.021125474557729656,0.02
-589.3717122291104,0.5558163401015215,-1.2483839394048677,-563.3813259579032,156.0,0.021125473634817166,0.02
-589.3717122291104,0.4424568709741868,-1.3617422277073263,-537.690182511558,162.0,0.021125472898209777,0.02
-589.3717122291104,0.31626913587399197,-1.4879292993315272,-506.1076633687517,168.0,0.021125472484328486,0.02
-589.3717122291104,0.17159367149219662,-1.632604728614889,-468.9797823965249,174.0,0.021125472462433816,0.02
-589.3717122291104,0.0,-1.8041988970568106,-426.7134309182583,180.0,0.02112547277243478,0.02
-589.3717122291104,-0.1715936714661643,-1.6326047283672578,-468.9797825248961,186.0,0.021125472462263106,0.02
-589.3717122291104,-0.31626913592859357,-1.487929299588371,-506.1076632110906,192.0,0.021125472484522772,0.02
-589.3717122291104,-0.44245687097418307,-1.3617422277073263,-537.6901825115609,198.0,0.021125472898209777,0.02
-589.3717122291104,-0.5558163401015177,-1.2483839394048564,-563.3813259579125,204.0,0.02112547363481716,0.02
-589.3717122291104,-0.6603836773426458,-1.143818081646625,-582.8997181783685,210.0,0.021125474557729656,0.02
-589.3717122291104,-0.7592226803547703,-1.0449803708519787,-596.0318024302115,216.0,0.02112547536382459,0.02
-589.3717122291104,-0.8548247371262908,-0.9493790510380418,-602.6339467123848,222.0,0.021125475823544244,0.02
-589.3717122291104,-0.9493790510380306,-0.8548247371262796,-602.6339467123976,228.0,0.021125475823544237,0.02
-589.3717122291104,-1.0449803708519787,-0.759222680354774,-596.0318024302107,234.0,0.02112547536382459,0.02
-589.3717122291104,-1.1438180816466286,-0.6603836773426496,-582.8997181783644,240.0,0.02112547455772966,0.02
